"","Year","ArtsSciences","Major","Count"
"1",2024,2956,"Stats",39
"2",2024,2956,"Math",25
"3",2024,2956,"Applied_Math",18
"4",2024,2956,"Data_Analytics",36
"5",2023,2979,"Stats",38
"6",2023,2979,"Math",30
"7",2023,2979,"Applied_Math",19
"8",2023,2979,"Data_Analytics",23
"9",2022,2964,"Stats",48
"10",2022,2964,"Math",26
"11",2022,2964,"Applied_Math",27
"12",2022,2964,"Data_Analytics",11
"13",2021,2874,"Stats",53
"14",2021,2874,"Math",21
"15",2021,2874,"Applied_Math",34
"16",2021,2874,"Data_Analytics",NA
"17",2020,2888,"Stats",56
"18",2020,2888,"Math",26
"19",2020,2888,"Applied_Math",25
"20",2020,2888,"Data_Analytics",NA
"21",2019,2894,"Stats",57
"22",2019,2894,"Math",33
"23",2019,2894,"Applied_Math",23
"24",2019,2894,"Data_Analytics",NA
"25",2018,2848,"Stats",54
"26",2018,2848,"Math",31
"27",2018,2848,"Applied_Math",32
"28",2018,2848,"Data_Analytics",NA
"29",2017,2716,"Stats",56
"30",2017,2716,"Math",32
"31",2017,2716,"Applied_Math",37
"32",2017,2716,"Data_Analytics",NA
"33",2016,2610,"Stats",43
"34",2016,2610,"Math",46
"35",2016,2610,"Applied_Math",27
"36",2016,2610,"Data_Analytics",NA
"37",2015,2563,"Stats",47
"38",2015,2563,"Math",39
"39",2015,2563,"Applied_Math",18
"40",2015,2563,"Data_Analytics",NA
"41",2014,2639,"Stats",34
"42",2014,2639,"Math",44
"43",2014,2639,"Applied_Math",12
"44",2014,2639,"Data_Analytics",NA
"45",2013,2791,"Stats",32
"46",2013,2791,"Math",56
"47",2013,2791,"Applied_Math",9
"48",2013,2791,"Data_Analytics",NA
"49",2012,2783,"Stats",34
"50",2012,2783,"Math",55
"51",2012,2783,"Applied_Math",5
"52",2012,2783,"Data_Analytics",NA
"53",2011,2672,"Stats",24
"54",2011,2672,"Math",63
"55",2011,2672,"Applied_Math",4
"56",2011,2672,"Data_Analytics",NA
"57",2010,2472,"Stats",11
"58",2010,2472,"Math",52
"59",2010,2472,"Applied_Math",NA
"60",2010,2472,"Data_Analytics",NA
"61",2009,2198,"Stats",NA
"62",2009,2198,"Math",75
"63",2009,2198,"Applied_Math",NA
"64",2009,2198,"Data_Analytics",NA
"65",2008,2182,"Stats",NA
"66",2008,2182,"Math",73
"67",2008,2182,"Applied_Math",NA
"68",2008,2182,"Data_Analytics",NA
"69",2007,2105,"Stats",NA
"70",2007,2105,"Math",54
"71",2007,2105,"Applied_Math",NA
"72",2007,2105,"Data_Analytics",NA
